tv_show_name,tv_show_id,created_at,notification_type,folder_id,notification_offset,user_id,updated_at,active,diffusion,archived
Lost,73739,2020-07-26 07:22:07,2,,1440,42659028,2020-07-26 07:22:07,1,original,0
Prison Break,75340,2021-01-03 09:12:11,2,,1440,42659028,2021-01-03 09:12:11,1,original,0
Supernatural,78901,2020-07-26 07:38:24,2,,1440,42659028,2020-07-26 07:38:24,1,original,0
Breaking Bad,81189,2020-07-26 07:11:08,2,,1440,42659028,2020-07-26 07:11:08,1,original,0
Fringe,82066,2020-07-26 07:21:26,2,,1440,42659028,2020-07-26 07:21:26,1,original,0
Game of Thrones,121361,2020-07-26 07:11:08,2,,1440,42659028,2020-07-26 07:11:08,1,original,0
Strike Back,148581,2020-07-26 07:25:58,2,,1440,42659028,2020-07-26 07:25:58,1,original,0
The Walking Dead,153021,2020-07-26 07:41:36,2,,1440,42659028,2020-07-26 07:41:36,1,original,0
Nikita,164301,2020-07-26 07:37:06,2,,1440,42659028,2020-07-26 07:37:06,1,original,0
Scooby-Doo! Mystery Incorporated,174681,2022-03-09 23:46:59,2,,1440,42659028,2022-03-09 23:46:59,1,original,0
Teen Wolf,175001,2020-07-26 07:39:52,2,,1440,42659028,2020-07-26 07:39:52,1,original,0
Sherlock,176941,2020-07-26 07:37:29,2,,1440,42659028,2020-07-26 07:37:29,1,original,0
Da Vinci's Demons,259669,2020-07-26 07:36:39,2,,1440,42659028,2020-07-26 07:36:39,1,original,0
Banshee,259765,2020-07-26 07:11:08,2,,1440,42659028,2020-07-26 07:11:08,1,original,0
Under the Dome,264492,2020-07-26 07:42:04,2,,1440,42659028,2020-07-26 07:42:04,1,original,0
The Tomorrow People (US),268591,2020-07-26 07:28:32,2,,1440,42659028,2020-07-26 07:28:32,1,original,0
The 100,268592,2020-07-26 07:11:08,2,,1440,42659028,2020-07-26 07:11:08,1,original,0
The Last Ship,269533,2020-07-26 07:26:35,2,,1440,42659028,2020-07-26 07:26:35,1,original,0
Wayward Pines,269750,2020-07-26 07:29:01,2,,1440,42659028,2020-07-26 07:29:01,1,original,0
Peaky Blinders,270915,2020-10-25 04:26:36,2,,1440,42659028,2020-10-25 04:26:40,1,original,0
Better Call Saul,273181,2021-03-03 15:31:50,2,,1440,42659028,2021-03-03 15:31:50,1,original,0
The Strain,276564,2020-10-25 04:26:06,2,,1440,42659028,2020-10-25 04:26:06,1,original,0
Scorpion,281630,2020-07-26 07:23:44,2,,1440,42659028,2020-07-26 07:23:44,1,original,0
Marvel's Daredevil,281662,2020-07-26 07:22:58,2,,1440,42659028,2020-07-26 07:22:58,1,original,0
Narcos,282670,2020-10-04 04:17:19,2,,1440,42659028,2020-10-04 04:17:19,1,original,0
The Shannara Chronicles,289096,2020-07-26 07:27:59,2,,1440,42659028,2020-07-26 07:27:59,1,original,0
Mr. Robot,289590,2020-07-26 07:23:24,2,,1440,42659028,2020-07-26 07:23:24,1,original,0
Blindspot,295647,2020-07-26 07:15:06,2,,1440,42659028,2020-07-26 07:15:06,1,original,0
Lucifer,295685,2020-07-26 07:22:26,2,,1440,42659028,2020-07-26 07:22:26,1,original,0
Beowulf: Return to the Shieldlands,301347,2020-07-26 07:20:15,2,,1440,42659028,2020-07-26 07:20:15,1,original,0
Stranger Things,305288,2020-07-26 07:11:08,2,,1440,42659028,2020-07-26 07:11:08,1,original,0
SIX,311809,2020-07-26 07:24:45,2,,1440,42659028,2020-07-26 07:24:45,1,original,0
Shooter,311900,2020-07-26 07:37:53,2,,1440,42659028,2020-07-26 07:37:53,1,original,0
13 Reasons Why,323168,2020-10-25 04:25:31,2,,1440,42659028,2020-10-25 04:25:31,1,original,0
Money Heist,327417,2020-07-26 07:11:08,2,,1440,42659028,2020-07-26 07:11:08,1,original,0
The Good Doctor,328634,2021-04-02 19:37:57,2,,1440,42659028,2021-04-02 19:37:57,1,original,0
Dark,334824,2020-07-26 07:29:28,2,,1440,42659028,2020-07-26 07:29:28,1,original,0
The Rain,341704,2020-12-08 02:39:09,2,,1440,42659028,2020-12-08 02:39:09,1,original,0
The Boss Baby: Back in Business,342858,2021-07-31 02:15:31,2,,1440,42659028,2021-07-31 02:15:31,1,original,0
Black Summer,350587,2020-10-28 16:22:08,2,,1440,42659028,2020-10-28 16:22:08,1,original,0
A Teacher,352440,2021-05-19 16:03:54,2,,1440,42659028,2021-05-19 16:03:54,1,original,0
The Fast and the Furious,355375,2020-07-26 07:42:59,2,,1440,42659028,2020-07-26 07:42:59,1,original,0
Sex Education,356317,2020-07-26 07:11:08,2,,1440,42659028,2020-07-26 07:11:08,1,original,0
Prison Break,360115,2020-10-25 04:27:50,2,,1440,42659028,2020-10-25 04:27:50,1,original,0
Euphoria (US),360261,2021-06-07 03:05:23,2,,1440,42659028,2021-06-07 03:05:23,1,original,0
Chernobyl,360893,2020-07-26 07:11:08,2,,1440,42659028,2020-07-26 07:11:08,1,original,0
See,361565,2020-07-26 07:24:30,2,,1440,42659028,2020-07-26 07:24:30,1,original,0
Rasbhari,362330,2020-10-22 07:02:55,2,,1440,42659028,2020-10-22 07:02:55,1,original,0
WandaVision,362392,2022-04-24 00:52:19,2,,1440,42659028,2022-04-24 00:52:19,1,original,0
Loki,362472,2022-05-08 13:06:59,2,,1440,42659028,2022-05-08 13:06:59,1,original,0
The Falcon and The Winter Soldier,362496,2022-10-28 18:41:09,2,,1440,42659028,2022-10-28 18:41:09,1,original,0
The Witcher,362696,2020-07-26 07:13:40,2,,1440,42659028,2020-07-26 07:13:47,1,original,0
Mrs. Fletcher,366195,2020-07-26 07:14:43,2,,1440,42659028,2020-07-26 07:14:43,1,original,0
Hawkeye (2021),367146,2022-07-07 01:41:40,2,,1440,42659028,2022-07-07 01:41:40,1,original,0
What Ifâ€¦?,367147,2022-05-23 08:12:34,2,,1440,42659028,2022-05-23 08:12:34,1,original,0
Moon Knight,368611,2022-10-28 18:41:22,2,,1440,42659028,2022-10-28 18:41:22,1,original,0
House of the Dragon,371572,2022-09-04 10:37:49,2,,1440,42659028,2022-09-04 10:37:49,1,original,0
Behind Her Eyes,380991,2022-02-13 04:25:50,2,,1440,42659028,2022-02-13 04:26:02,1,original,0
The Queen's Gambit,387115,2020-12-15 08:26:20,2,,1440,42659028,2020-12-15 08:26:20,1,original,0
The Innocent,388477,2021-06-07 03:04:57,2,,1440,42659028,2021-06-07 03:04:57,1,original,0
I Am Groot,393201,2022-10-28 18:41:41,2,,1440,42659028,2022-10-28 18:41:41,1,original,0
Man vs. Bee,393434,2022-07-03 08:14:41,2,,1440,42659028,2022-07-03 08:14:41,1,original,0
From,401003,2022-06-05 08:23:16,2,,1440,42659028,2022-06-05 08:23:16,1,original,0
Prehistoric Planet (2022),418505,2022-08-30 09:27:59,2,,1440,42659028,2022-08-30 09:27:59,1,original,0
